"player.givenName","player.surname","opponent","confidence_flag","line_10","line_11","line_12","line_13","line_14","line_15","line_16","line_17","line_18","line_19","line_20","line_21","line_22","line_23","line_24","line_25","line_26","line_27","line_28","line_29","line_30","predicted_disposals"
"William","Edwards","Collingwood","ok",1.49934453605839,1.6941461853755,1.96098351397338,2.32979829139729,2.84608270520039,3.58048176690538,4.64515892813708,6.22231176041545,8.61500494902982,12.3399468209553,18.3009874592922,28.1218219567399,44.8007275273718,74.0338741436536,126.964300289394,226.055637305868,418.010181595313,803.031912673175,1603.14853314049,3326.72166957363,7177.21022394231,11.6
"Tom","McCartin","Collingwood","ok",1.01113805288828,1.02180951610283,1.04046849537916,1.07150468940834,1.12101777848087,1.19750394940358,1.31310515108266,1.48587718321118,1.74386894982613,2.13250614250346,2.72824889979276,3.66463969099984,5.18374136151483,7.74153781489229,12.2324052694396,20.4867936027736,36.4219213335798,68.8211099132456,138.358595764947,296.210094967242,675.813731693432,18.2
"Lewis","Melican","Collingwood","ok",1.70305077383431,1.98338141709603,2.3752124013345,2.9305376487047,3.7314485925156,4.91066396377011,6.68806985737564,9.43736530267913,13.8107275368979,20.9781776280844,33.099748698173,54.2831780938146,92.5829326262135,164.297875922748,303.4952054327,583.782693949934,1169.69083786947,2441.943345444,5313.17754774502,12051.0373945088,28499.1685532521,10.6
"Sam","Wicks","Collingwood","ok",1.03000706324797,1.04577729605183,1.068199711133,1.09943084839905,1.14218652561497,1.19992232280927,1.27710988839183,1.37965640185219,1.51553779021821,1.69575560200534,1.93579376791194,2.25786344833628,2.6944146369479,3.29372145551181,4.12892295436446,5.31292555861983,7.0234314410871,9.54579025528586,13.3478353135102,19.2132716409366,28.4844723939031,19.7
"Nick","Blakey","Collingwood","ok",1.00076127828474,1.00152606895646,1.00294105088625,1.00545323425492,1.00973795997255,1.01676965261242,1.02789760035502,1.04492824163413,1.07022389737785,1.10684004983313,1.15873797300635,1.23112705180489,1.33101529384858,1.46808612570263,1.65608985452748,1.91506465481102,2.27492935855116,2.78140186121545,3.50595280133176,4.56291997752092,6.13961925110849,24.8
"Callum","Mills","Collingwood","ok",1.00408032038206,1.00749032494604,1.01323474307537,1.02254452705517,1.03709928468906,1.05912490109843,1.09152164657593,1.13805697259522,1.20367569990278,1.29500419572193,1.42116235070025,1.59506262135215,1.83549421185231,2.17050621908242,2.64299678846242,3.32014144117312,4.30966065540293,5.78855750167319,8.05513819403822,11.6255837729282,17.4179623807049,22
"Jai","Serong","Collingwood","ok",1.04113629110677,1.0649633137731,1.09974483368037,1.14939280405053,1.21905152854229,1.3156370112858,1.44870155446696,1.63181287627039,1.88476412971079,2.23716122304541,2.73435231496666,3.44743666222509,4.49054372246641,6.05137091529413,8.44647769475892,12.2239443784998,18.3589668883865,28.6366264033226,46.4219319069187,78.2537204697667,137.242004867372,17.9
"Chad","Warner","Collingwood","ok",1.0051664137783,1.00909267949562,1.01546473612108,1.02545631325315,1.04063135058619,1.06302449000062,1.09524894338433,1.14065859912102,1.20360413679098,1.28983975047968,1.40716320997245,1.56641696802913,1.7830574385095,2.07963972093588,2.48981297666872,3.06486507841335,3.88466167308365,5.0763208932625,6.84679869523774,9.54104383342473,13.7482314569095,22.3
"James","Rowbottom","Collingwood","ok",1.08603472865229,1.12747178755615,1.18501826504792,1.26391860823887,1.37122016968595,1.51663597171396,1.71389160858809,1.98284488129281,2.35286858578925,2.86834523311214,3.59776862198781,4.64913441529675,6.19652816028604,8.52708282853464,12.125822009502,17.8326015491954,27.139545389743,42.7690184307744,69.826021949807,118.157525818632,207.3158135687,16.6
"Malcolm","Rosas","Collingwood","ok",1.48482917199648,1.74615415342226,2.14184813253634,2.75187865061278,3.71699403110397,5.29453791387362,7.97400336756878,12.7259387071144,21.560727059172,38.8383004926656,74.4790271340959,152.211819697551,331.812694185359,772.141119285006,1919.27956030415,5098.65021178186,14482.7496456867,44004.86357913,143072.291227915,497905.678265395,1855197.27494929,11.2
"James","Jordon","Collingwood","ok",1.00108213563612,1.00560548552092,1.02277660504215,1.0746241315408,1.20600933709664,1.50726351764574,2.18651887429163,3.81182239867949,8.19836998013414,22.1659458975805,76.332872996783,337.90458087837,1935.34453794699,14409.1370818695,139934.813774888,1777209.63554604,29575231.5962665,645884397.763201,18532721659.8958,699355108144.506,34735044678179.2,15.3
"Jake","Lloyd","Collingwood","ok",1.08888511083904,1.12908735850235,1.18402337753068,1.25822703968336,1.35770212781361,1.49058363729504,1.66814792908185,1.90636601954906,2.2283210927609,2.66802989292174,3.27658938740482,4.13224795808388,5.35722620270055,7.14637145073179,9.81697470148337,13.8972143286587,20.2866061340467,30.5536330346027,47.5006236277769,76.2613692984258,126.486023371205,16.8
