"player.givenName","player.surname","opponent","predicted_disposals","line","model_odds","pb_odds","ev_pb"
"Brayden","Maynard","Sydney Swans",21.1,16,1.13292909638857,1.21,0.0680280026853449
"Luke","Parker","Kuwarna",24.9,23,1.34926709671259,1.44,0.0672460652960988
"Jordan","Dawson","North Melbourne",25.5,19,1.08709339198537,1.16,0.0670656344267579
"Mattaes","Phillipou","Richmond",16.1,13,1.03090303250644,1.1,0.0670256710037688
"Sam","Berry","North Melbourne",21.9,15,1.01228661433106,1.08,0.0668915154169897
"Heath","Chapman","Essendon",17.5,17,1.71607798609092,1.83,0.066385103027042
"Toby","Greene","Waalitj Marawar",23.2,15,1.01299244963434,1.08,0.0661481241936702
"Toby","Greene","Waalitj Marawar",23.2,26,3.65867004786143,3.9,0.06596111400634
"Bradley","Hill","Richmond",24.3,22,1.38925405468749,1.48,0.0653199067559457
"Jack","Ross","Euro-Yroke",25.5,26,2.01823378107472,2.15,0.0652878869439578
"Luke","Parker","Kuwarna",24.9,19,1.04214045761835,1.11,0.0651155435772339
"Isaac","Heeney","Collingwood",27.4,25,1.40900326042436,1.5,0.0645823484810338
"James","Peatling","North Melbourne",21.5,21,1.72030598997712,1.83,0.0637642434903911
"Tom","Sparrow","Hawthorn",20.8,15,1.06230631826772,1.13,0.0637233164937413
"Liam","Henry","Richmond",13.5,13,1.72066594736488,1.83,0.0635417076757733
"Marcus","Windhager","Richmond",22.6,21,1.49508012298601,1.59,0.0634881539488448
"Liam","Henry","Richmond",13.5,16,2.91636036016418,3.1,0.0629687751706657
"Jack","Crisp","Sydney Swans",23.6,19,1.13856051732503,1.21,0.0627454417994518
"Hugo","Garcia","Richmond",25.3,26,2.07012095731902,2.2,0.0627398327724684
"Christian","Petracca","Yartapuulti",25.7,22,1.25182522766742,1.33,0.0624486314900765
"Caleb","Daniel","Kuwarna",24.4,23,1.53617237205843,1.63,0.0610788409218955
"Jack","Crisp","Sydney Swans",23.6,24,1.97915151162642,2.1,0.0610607564219651
"Sam","Berry","North Melbourne",21.9,23,2.35625573160274,2.5,0.0610053766530203
"Jordan","Dawson","North Melbourne",25.5,29,3.67612819087423,3.9,0.060898803714604
"Hugo","Garcia","Richmond",25.3,18,1.01874002387568,1.08,0.0601330807552503
"Clayton","Oliver","Waalitj Marawar",30.6,23,1.00006741845745,1.06,0.0599285412527431
"Marcus","Bontempelli","Carlton",27,20,1.00020748486566,1.06,0.0597801116659029
"Zac","Williams","Western Bulldogs",17,14,1.32124402406879,1.4,0.059607441544887
"Liam","Henry","Richmond",13.5,17,3.68078365256949,3.9,0.059556977025119
"Koltyn","Tholstrup","Hawthorn",18.8,21,2.73875572335733,2.9,0.0588750122062761
"Jack","Darling","Kuwarna",13.5,13,1.73003819578323,1.83,0.0577801140231558
"Shai","Bolton","Essendon",25.7,19,1.04996616167117,1.11,0.0571769267623575
"Harvey","Langford","Hawthorn",15.9,13,1.32467682426648,1.4,0.0568615486839447
"Tim","Taranto","Euro-Yroke",23.3,18,1.00321207077574,1.06,0.0566061064041512
"Isaac","Heeney","Collingwood",27.4,26,1.56162225422034,1.65,0.056593549138288
"Luke","Parker","Kuwarna",24.9,18,1.02215444630365,1.08,0.0565917938385271
"Jacob","Farrow","Walyalup",18.2,21,3.21998070052427,3.4,0.0559069498293651
"Heath","Chapman","Essendon",17.5,19,2.41728093059332,2.55,0.0549042801467452
"Christian","Petracca","Yartapuulti",25.7,21,1.17578505646504,1.24,0.0546145259985057
"James","Peatling","North Melbourne",21.5,22,1.99219281538584,2.1,0.0541148345589655
"Riley","Thilthorpe","North Melbourne",12.3,10,1.07215229971421,1.13,0.0539547415989392
"Marcus","Windhager","Richmond",22.6,19,1.24348422218039,1.31,0.0534914529940526
"Willem","Duursma","GWS GIANTS",19.7,16,1.14927768682747,1.21,0.0528351971577502
"Luke","Jackson","Essendon",19.8,14,1.02588028046126,1.08,0.0527544203446476
"Marcus","Windhager","Richmond",22.6,20,1.34935196436697,1.42,0.0523570109939239
"Isaac","Heeney","Collingwood",27.4,28,2.04383150438573,2.15,0.0519458161724409
"Jaxon","Prior","Walyalup",17.2,13,1.20764222624784,1.27,0.0516359666769054
"Mattaes","Phillipou","Richmond",16.1,12,1.00803679079795,1.06,0.0515489213056575
"Luke","Parker","Kuwarna",24.9,24,1.55009691014585,1.63,0.0515471576848937
"Bradley","Hill","Richmond",24.3,20,1.18939301536081,1.25,0.0509562304944298
"Isaac","Heeney","Collingwood",27.4,24,1.29519843624145,1.36,0.0500321510166449
"Matt","Rowell","Yartapuulti",24.4,18,1.00012777747949,1.05,0.0498658507877835
"Jack","Ross","Euro-Yroke",25.5,19,1.05756178194368,1.11,0.0495840705967529
"Isaac","Heeney","Collingwood",27.4,23,1.21050405516997,1.27,0.0491497278145652
"Ed","Langdon","Hawthorn",21.2,15,1.03895446217274,1.09,0.0491316411698244
"Jaxon","Prior","Walyalup",17.2,14,1.29646349590107,1.36,0.0490075534712729
"Lloyd","Meek","Narrm",14.7,17,3.52721050375878,3.7,0.048987577026404
"Shai","Bolton","Essendon",25.7,18,1.02960955027557,1.08,0.0489413192709267
"Andrew","Brayshaw","Essendon",22.9,17,1.00124395415931,1.05,0.0486954709071119
"Bailey","Dale","Carlton",27,17,1.00196424824747,1.05,0.0479415825829559
"James","Peatling","North Melbourne",21.5,19,1.37425277409409,1.44,0.0478421634980882
"Wayne","Milera","North Melbourne",27.2,18,1.02119342593458,1.07,0.0477936626166102
"Caleb","Daniel","Kuwarna",24.4,21,1.26951108616363,1.33,0.047647408908548
"Caleb","Daniel","Kuwarna",24.4,24,1.74681913568569,1.83,0.0476184755565217
"Ed","Langdon","Hawthorn",21.2,21,1.74686081092292,1.83,0.0475934822953403
"Jack","Crisp","Sydney Swans",23.6,18,1.08834712511044,1.14,0.0474599267989226
"Heath","Chapman","Essendon",17.5,15,1.35584474179573,1.42,0.0473175550463854
"Harry","Sharp","Hawthorn",14.4,14,1.74879579195085,1.83,0.0464343569574598
"Ned","Reeves","Narrm",9.7,18,18.1726867358118,19,0.0455250935767157
"Lachie","Whitfield","Waalitj Marawar",30.2,25,1.06171006159919,1.11,0.0454831692261375
"Tom","Papley","Collingwood",18.1,15,1.23410601324876,1.29,0.045291073984884
"Lachie","Whitfield","Waalitj Marawar",30.2,24,1.03357935339471,1.08,0.0449125134444924
"Lachie","Ash","Waalitj Marawar",28.2,24,1.15831673710317,1.21,0.0446192835183242
"Sam","Berry","North Melbourne",21.9,14,1.00528900836891,1.05,0.0444757589696861
"Caleb","Daniel","Kuwarna",24.4,20,1.1872933498104,1.24,0.0443922727251998
"Bradley","Hill","Richmond",24.3,21,1.27352923482412,1.33,0.0443419464836047
"Jack","Ross","Euro-Yroke",25.5,18,1.03447463073729,1.08,0.0440082027243752
"Marcus","Windhager","Richmond",22.6,22,1.695738716178,1.77,0.0437928810102132
"Jack","Darling","Kuwarna",13.5,12,1.52370292535125,1.59,0.0435104990255663
"Jaxon","Prior","Walyalup",17.2,21,4.02730823677601,4.2,0.0428801951752862
"Ben","Ainsworth","Western Bulldogs",17.9,13,1.10393038486214,1.15,0.0417323553818237
"Hamish","Davis","GWS GIANTS",15.2,16,2.11357673634727,2.2,0.040889579340321
"Nick","Daicos","Sydney Swans",29.2,24,1.11449274166732,1.16,0.0408322608405725
"Harvey","Langford","Hawthorn",15.9,20,4.22884600676751,4.4,0.0404729784339718
"Jordan","Dawson","North Melbourne",25.5,18,1.05731020857474,1.1,0.0403758434176159
"Hugo","Garcia","Richmond",25.3,17,1.00936320853542,1.05,0.0402598302780875
"Lachie","Ash","Waalitj Marawar",28.2,25,1.24008290620709,1.29,0.0402530294894465
"Marcus","Bontempelli","Carlton",27,19,1.00003117696574,1.04,0.0399675769664799
"Jarman","Impey","Narrm",24,22,1.4231987178409,1.48,0.0399109986870063
"Christian","Petracca","Yartapuulti",25.7,27,2.30798530643239,2.4,0.0398679719975535
"Henry","Hustwaite","Narrm",17.6,11,1.00040261577993,1.04,0.0395814481044735
"Clayton","Oliver","Waalitj Marawar",30.6,30,1.44299105106495,1.5,0.0395074861295767
"Brayden","Maynard","Sydney Swans",21.1,15,1.08751569300447,1.13,0.0390654656928724
"Willem","Duursma","GWS GIANTS",19.7,17,1.24181777674606,1.29,0.0387997531974414
