"player.givenName","player.surname","opponent","predicted_disposals","line","model_odds","pb_odds","ev_pb"
"Blake","Howes","Hawthorn",16.1,18,2.49260440270232,2.5,0.0029670160614601
"Ben","Ainsworth","Western Bulldogs",17.9,11,1.0369700476185,1.04,0.00292192854408983
"Marcus","Windhager","Richmond",22.6,15,1.04700253777414,1.05,0.00286289872060607
"Karl","Amon","Narrm",24.4,17,1.0570810461133,1.06,0.00276133405042985
"Will","Hayward","Western Bulldogs",15.8,12,1.14696560534441,1.15,0.00264558469883214
"Karl","Amon","Narrm",24.4,18,1.08712857013684,1.09,0.00264129739760011
"Riley","Bice","Collingwood",19.3,15,1.07718939247527,1.08,0.00260920460632114
"Josh","Rachele","North Melbourne",18.9,20,2.19438933240454,2.2,0.00255682412988989
"Blake","Howes","Hawthorn",16.1,16,1.82542973284402,1.83,0.00250366643741168
"Lachie","Ash","Waalitj Marawar",28.2,26,1.35690824555885,1.36,0.00227852874449302
"Cam","Mackenzie","Narrm",20.6,17,1.21730350109094,1.22,0.00221514101178913
"Max","Heath","Hawthorn",10.8,12,2.74412771451532,2.75,0.00213994613064938
